"make answer from this comment";"make answer from this comment"
"move to other answer";"move to other answer"
"Reset Selected";"Reset Selected"
"Return to view";"Return to view"
"Manage Answers";"Manage Answers"
"delete";"delete"
"edit";"edit"
"Comments:";"Comments:"
"Edit";"Edit"
"Edit Question";"Edit Question"
"Save Question";"Save Question"
"View more comments";"View more comments"
"%s comment";"%s comment";"%s comments"
"open";"open"
"Best Answers:";"Best Answers:"
"report";"report"
"Enable anonymous posts";"Enable anonymous posts"
"Do you want to let members ask and answer anonymous questions? Notice, members will be able to answer all questions as anonymous.";"Do you want to let members ask and answer anonymous questions? Notice, members will be able to answer all questions as anonymous."
"post this answer anonymously";"post this answer anonymously"
"Your username will be hidden automatically.";"Your username will be hidden automatically."
"Anonymous Question";"Anonymous Question"
"%s <br /> Score";"%s <br /> Score"
"%s <br /> View";"%s <br /> View";"%d <br />Views"
"%d <br /> Answer";"%d <br /> Answer";"%d <br />Answers"


# Activty Feed types

"{item:$subject} answered to {item:$owner}'s question:";"{item:$subject} answered to {item:$owner}'s question:"
"{item:$subject} has answered the question {item:$object:$label}";"{item:$subject} has answered the question {item:$object:$label}"
"{item:$subject} has answered your question {item:$object:$label}";"{item:$subject} has answered your question {item:$object:$label}"
"{item:$subject} has chosen the best answer to a question {item:$object:$label}";"{item:$subject} has chosen the best answer to a question {item:$object:$label}"
"{item:$subject} has asked a new question:";"{item:$subject} has asked a new question:"
"{item:$subject} has commented an answer to the question {item:$object}:";"{item:$subject} has commented an answer to the question {item:$object}:"
"{item:$subject} has commented a question {item:$object:$label}";"{item:$subject} has commented a question {item:$object:$label}"
"Somebody posted an anonymous reply to {item:$owner}'s question:";"Somebody posted an anonymous reply to {item:$owner}'s question:"
"{item:$subject} posts reply to anonymous question:";"{item:$subject} answered an anonymous question:"
"Somebody posted an anonymous reply to question:";"Somebody posted an anonymous reply to question:"
"{item:$subject} has chosen the best answer to the question:";"{item:$subject} has chosen the best answer to the question:"
# mail templates

# notify_answer_new
"_EMAIL_NOTIFY_ANSWER_NEW_TITLE";"Somebody has answered your question"
"_EMAIL_NOTIFY_ANSWER_NEW_DESCRIPTION";"This email sent to member when new answer on his question is posted."
"_EMAIL_NOTIFY_ANSWER_NEW_SUBJECT";"Somebody has answered your question"
"_EMAIL_NOTIFY_ANSWER_NEW_BODY";"[header]

You have got a new answer to your question  ""[object_title]""
To view it, please click following link:

http://[host][object_link]

Unsubscribe link http://[host][unsubscribe_link]

[footer]"

# notify_choose_best
"_EMAIL_NOTIFY_CHOOSE_BEST_TITLE";"Best answer has been chosen."
"_EMAIL_NOTIFY_CHOOSE_BEST_DESCRIPTION";"This email is sent to members who answered the question when the best answer has been chosen."
"_EMAIL_NOTIFY_CHOOSE_BEST_SUBJECT";"Best answer has been chosen."
"_EMAIL_NOTIFY_CHOOSE_BEST_BODY";"[header]

[sender_title] has chosen the best answer to a question  ""[object_title]""
To view it, please click following link:

http://[host][object_link]

[footer]"

# notify_answer_new_subs
"_EMAIL_NOTIFY_ANSWER_NEW_SUBS_TITLE";"Somebody has answered a question you are watching"
"_EMAIL_NOTIFY_ANSWER_NEW_SUBS_DESCRIPTION";"This letter will be sent to the members when someone has answered the questions to which they subscribed."
"_EMAIL_NOTIFY_ANSWER_NEW_SUBS_SUBJECT";"Somebody has answered to a question"
"_EMAIL_NOTIFY_ANSWER_NEW_SUBS_BODY";"[header]

[sender_title] has answered to question  ""[object_title]""
To view it, please click following link:

http://[host][object_link]

Unsubscribe link http://[host][unsubscribe_link]

[footer]"

# notify_answer_new_comment
"_EMAIL_NOTIFY_ANSWER_NEW_COMMENT_TITLE";"Somebody has commented a answer on a question which you are watching"
"_EMAIL_NOTIFY_ANSWER_NEW_COMMENT_DESCRIPTION";"This letter will be sent to the members when someone has commented a answer to the questions they are subcscibed to"
"_EMAIL_NOTIFY_ANSWER_NEW_COMMENT_SUBJECT";"Somebody has commented a answer"
"_EMAIL_NOTIFY_ANSWER_NEW_COMMENT_BODY";"[header]

[sender_title] has commented on one of answers for question ""[object_title]"":

[comment_body]

To view it, please click following link:

http://[host][comment_link]

Unsubscribe link http://[host][unsubscribe_link]

[footer]"
